!STATION,ANTENNA-TYPE,ANTENNA-ID,ETRS-X,ETRS-Y,ETRS-Z,RCU-X,RCU-Y
! from https://github.com/lofar-astron/lofar-antenna-positions Edited to leave only Dutch LBA
CS001,HBA,3,3826890.118,460979.142,5064662.831,6,7
CS001,HBA,4,3826891.214,460984.012,5064661.568,8,9
CS001,HBA,5,3826892.311,460988.883,5064660.305,10,11
CS001,HBA,6,3826891.902,460967.768,5064662.520,12,13
CS001,HBA,7,3826892.999,460972.640,5064661.256,14,15
CS001,HBA,8,3826894.094,460977.511,5064659.994,16,17
CS001,HBA,9,3826895.191,460982.382,5064658.730,18,19
CS001,HBA,10,3826896.287,460987.252,5064657.467,20,21
CS001,HBA,11,3826897.383,460992.123,5064656.204,22,23
CS001,HBA,12,3826895.879,460966.138,5064659.682,24,25
CS001,HBA,13,3826896.974,460971.009,5064658.419,26,27
CS001,HBA,14,3826898.071,460975.880,5064657.156,28,29
CS001,HBA,15,3826899.167,460980.751,5064655.893,30,31
CS001,HBA,16,3826900.263,460985.622,5064654.630,32,33
CS001,HBA,17,3826901.359,460990.493,5064653.367,34,35
CS001,HBA,18,3826900.951,460969.378,5064655.582,36,37
CS001,HBA,19,3826902.048,460974.250,5064654.319,38,39
CS001,HBA,20,3826903.143,460979.120,5064653.056,40,41
CS001,HBA,21,3826904.240,460983.991,5064651.793,42,43
CS001,HBA,22,3826906.024,460972.619,5064651.481,44,45
CS001,HBA,23,3826907.120,460977.490,5064650.218,46,47
CS001,HBA,24,3826969.290,460898.914,5064610.654,48,49
CS001,HBA,25,3826970.386,460903.785,5064609.392,50,51
CS001,HBA,26,3826972.171,460892.413,5064609.080,52,53
CS001,HBA,27,3826973.267,460897.284,5064607.817,54,55
CS001,HBA,28,3826974.363,460902.154,5064606.554,56,57
CS001,HBA,29,3826975.459,460907.025,5064605.291,58,59
CS001,HBA,30,3826975.051,460885.911,5064607.506,60,61
CS001,HBA,31,3826976.147,460890.782,5064606.242,62,63
CS001,HBA,32,3826977.243,460895.653,5064604.980,64,65
CS001,HBA,33,3826978.339,460900.524,5064603.716,66,67
CS001,HBA,34,3826979.436,460905.394,5064602.453,68,69
CS001,HBA,35,3826980.532,460910.265,5064601.190,70,71
CS001,HBA,36,3826979.027,460884.281,5064604.668,72,73
CS001,HBA,37,3826980.123,460889.152,5064603.405,74,75
CS001,HBA,38,3826981.220,460894.022,5064602.142,76,77
CS001,HBA,39,3826982.316,460898.893,5064600.879,78,79
CS001,HBA,40,3826983.412,460903.764,5064599.616,80,81
CS001,HBA,41,3826984.508,460908.635,5064598.353,82,83
CS001,HBA,42,3826984.100,460887.521,5064600.568,84,85
CS001,HBA,43,3826985.196,460892.392,5064599.305,86,87
CS001,HBA,44,3826986.292,460897.262,5064598.042,88,89
CS001,HBA,45,3826987.388,460902.133,5064596.779,90,91
CS001,HBA,46,3826989.173,460890.761,5064596.467,92,93
CS001,HBA,47,3826990.269,460895.632,5064595.204,94,95
CS002,LBA,0,3826577.462,461022.624,5064892.526,0,1
