  68    2.5150  -11.9979    150.28   168.2    1.4286  -18.1809    332.59   175.5
  69    2.4134  -11.6236    140.93   168.3    1.3359  -17.5615    310.19   175.7
  70    2.3108  -11.2337    131.54   168.4    1.2463  -16.9179    287.77   175.8
  71    2.2072  -10.8272    122.10   168.5    1.1600  -16.2502    265.41   175.9
  72    2.1025  -10.4034    112.65   168.6    1.0768  -15.5586    243.23   176.0
  73    1.9964   -9.9617    103.22   168.7    0.9968  -14.8437    221.33   176.2
  74    1.8891   -9.5016     93.85   168.8    0.9199  -14.1058    199.82   176.3
  75    1.7804   -9.0229     84.58   168.8    0.8459  -13.3456    178.82   176.4
  76    1.6702   -8.5256     75.48   168.9    0.7749  -12.5638    158.45   176.5
  77    1.5586   -8.0097     66.58   169.0    0.7067  -11.7613    138.83   176.6
  78    1.4456   -7.4756     57.97   169.1    0.6411  -10.9389    120.07   176.6
  79    1.3311   -6.9238     49.71   169.1    0.5782  -10.0978    102.30   176.7
  80    1.2152   -6.3549     41.86   169.2    0.5175   -9.2391     85.63   176.8
  81    1.0979   -5.7699     34.50   169.2    0.4592   -8.3640     70.17   176.9
  82    0.9795   -5.1698     27.69   169.3    0.4028   -7.4739     56.02   176.9
  83    0.8598   -4.5558     21.49   169.3    0.3483   -6.5703     43.29   177.0
  84    0.7391   -3.9293     15.99   169.3    0.2954   -5.6546     32.06   177.0
  85    0.6174   -3.2918     11.22   169.4    0.2440   -4.7285     22.42   177.0
  86    0.4949   -2.6449      7.24   169.4    0.1937   -3.7935     14.43   177.1
  87    0.3718   -1.9905      4.10   169.4    0.1444   -2.8514      8.15   177.1
  88    0.2481   -1.3302      1.83   169.4    0.0959   -1.9039      3.63   177.1
  89    0.1241   -0.6661      0.46   169.4    0.0478   -0.9529      0.91   177.1
