 CS001   2.2197440000000005E-006   2.2201869999999998E-006
 CS002   0.0000000000000000       -5.4200000000013813E-010
 CS003   1.4045590000000004E-006   1.4048539999999999E-006
 CS004   4.2460000000000014E-007   4.2399999999999967E-007
 CS005  -2.2596599999999952E-007  -2.2659100000000005E-007
 CS006   4.2858600000000047E-007   4.2817699999999998E-007
 CS007   3.9919200000000012E-007   3.9963900000000039E-007
 CS011  -5.9290900000000032E-007  -5.9327099999999973E-007
 CS013  -1.8134460000000003E-006  -1.8134719999999997E-006
 CS017  -8.4465410000000000E-006  -8.4450709999999988E-006
 CS021   9.1693199999999968E-007   9.1619699999999993E-007
 CS024   2.3204800000000004E-006   2.3214719999999998E-006
 CS026  -9.2341809999999985E-006  -9.2346010000000007E-006
 CS028  -9.9831309999999974E-006  -9.9843709999999995E-006
 CS030  -2.7495019999999993E-006  -2.7493739999999992E-006
 CS031   6.1082900000000031E-007   6.1161999999999991E-007
 CS032  -1.5800730000000007E-006  -1.5800450000000007E-006
 CS101  -8.1787909999999991E-006  -8.1784710000000004E-006
 CS103  -2.8523221000000002E-005  -2.8522701000000000E-005
 CS201  -1.0484120999999998E-005  -1.0483850999999999E-005
 CS301  -7.2384400000000011E-007  -7.2451000000000029E-007
 CS302  -5.3549710000000002E-006  -5.3548710000000000E-006
 CS401  -9.5711100000000064E-007  -9.5728400000000054E-007
 CS501  -9.6176109999999976E-006  -9.6176109999999976E-006
 RS205   7.0049524008400000E-006   7.0049524008400000E-006
 RS306   7.0421688156100003E-006   7.0421688156100003E-006
 RS307   6.9558184890999999E-006   6.9558184890999999E-006
 RS310   6.9585967984900003E-006   6.9585967984900003E-006
 RS406   6.9444741100500000E-006   6.9444741100500000E-006
 RS407   6.9895981156599996E-006   6.9895981156599996E-006
 RS409   6.8500262843699998E-006   6.8500262843699998E-006
 RS503   6.9421827134600004E-006   6.9421827134600004E-006
 RS508   6.9478319041900000E-006   6.9478319041900000E-006
 RS208   7.0894821190199998E-006   7.0894821190199998E-006
 RS305   6.9218271836399999E-006   6.9218271836399999E-006
